"","gene.name","user.type"
"1","IL1A","IL"
"2","IL1B","IL"
"3","IL2","IL"
"4","IL3","IL"
"5","IL4","IL"
"6","IL5","IL"
"7","IL6","IL"
"8","IL7","IL"
"9","IL9","IL"
"10","IL10","IL"
"11","IL11","IL"
"12","IL12A","IL"
"13","IL12B","IL"
"14","IL13","IL"
"15","IL15","IL"
"16","IL16","IL"
"17","IL17A","IL"
"18","IL18","IL"
"19","IL32","IL"
"20","IL18BP","IL"
"21","IL24","IL"
"22","IL36B","IL"
"23","IL37","IL"
"24","IL36A","IL"
"25","IL17C","IL"
"26","IL17B","IL"
"27","IL19","IL"
"28","IL20","IL"
"29","IL22","IL"
"30","IL23A","IL"
"31","IL17D","IL"
"32","IL26","IL"
"33","IL36G","IL"
"34","IL21","IL"
"35","IL25","IL"
"36","IL1F10","IL"
"37","IL33","IL"
"38","IL17F","IL"
"39","IL34","IL"
"40","IL27","IL"
"41","IL4I1","IL"
"42","IL31","IL"
"43","IL6-AS1","IL"
"44","IL21-AS1","IL"
"45","IL12A-AS1","IL"
